genres;main_genre;;;
indonesian singer-songwriter;Not_assignable;;;
british blues;Jazz;;;
indian instrumental;Utility;;;
death metal;Heavy Metal;;;
german soundtrack;Utility;;;
cumbia chilena;Latin American music;;;
smooth jazz;Jazz;;;
swedish metal;Heavy Metal;;;
chicano rap;Rap and Hip-Hop;;;
microhouse;Dance Music, Techno and House;;;
trova;Utility;;;
lo-fi rap;Rap and Hip-Hop;;;
pop rap brasileiro;Rap and Hip-Hop;;;
stoner rock;Rock;;;
nigerian hip hop;Rap and Hip-Hop;;;
electra;Dance Music, Techno and House;;;
spanish indie pop;Pop;;;
west coast trap;Rap and Hip-Hop;;;
venezuelan hip hop;Rap and Hip-Hop;;;
operatic pop;Pop;;;
new jersey rap;Rap and Hip-Hop;;;
israeli pop;Pop;;;
dangdut;Utility;;;
experimental pop;Pop;;;
pinoy hip hop;Rap and Hip-Hop;;;
swamp rock;Rock;;;
dub;Reggae;;;
disney;Not_assignable;;;
dembow;Latin American music;;;
anadolu rock;Rock;;;
dancefloor dnb;Dance Music, Techno and House;;;
nederpop;Pop;;;
j-rap;Rap and Hip-Hop;;;
danish hip hop;Rap and Hip-Hop;;;
classify;Not_assignable;;;
christian hip hop;Rap and Hip-Hop;;;
gymcore;Rock;;;
gothic metal;Heavy Metal;;;
classic hardstyle;Dance Music, Techno and House;;;
cuarteto;Latin American music;;;
classic schlager;Utility;;;
lovers rock;Rock;;;
rome indie;Pop;;;
russian dance;Dance Music, Techno and House;;;
polish alternative;Not_assignable;;;
ambient;Downtempo and Ambient;;;
piseiro;Latin American music;;;
german baroque;Classical;;;
visual kei;Rock;;;
swedish idol pop;Pop;;;
new york drill;Rap and Hip-Hop;;;
celtic;World;;;
australian alternative rock;Rock;;;
pop nacional antigas;Pop;;;
funk consciente;R&B;;;
indie game soundtrack;Not_assignable;;;
modern dream pop;Pop;;;
hardcore punk;Rock;;;
turntablism;Rap and Hip-Hop;;;
trancecore;Dance Music, Techno and House;;;
south african pop;Pop;;;
r&b brasileiro;R&B;;;
russian dance pop;Pop;;;
zolo;Rock;;;
french reggae;Reggae;;;
phonk;Rap and Hip-Hop;;;
chill pop;Pop;;;
finnish hip hop;Rap and Hip-Hop;;;
cartoon;Not_assignable;;;
danspunk;Rock;;;
background jazz;Jazz;;;
musica de fondo;Not_assignable;;;
suomi rock;Rock;;;
nouvelle chanson francaise;Not_assignable;;;
supergroup;Not_assignable;;;
a cappella;Not_assignable;;;
indie jazz;Jazz;;;
jazz trumpet;Jazz;;;
rkt;Not_assignable;;;
ambient worship;Utility;;;
swedish alternative rock;Rock;;;
hi-nrg;Dance Music, Techno and House;;;
musica para ninos;Not_assignable;;;
turkish singer-songwriter;Not_assignable;;;
belgian hip hop;Rap and Hip-Hop;;;
euphoric hardstyle;Dance Music, Techno and House;;;
rebel blues;Jazz;;;
canadian punk;Rock;;;
birmingham metal;Heavy Metal;;;
sunshine pop;Pop;;;
k-indie;Pop;;;
reggae rock;Rock;;;
latin jazz;Jazz;;;
hawaiian hip hop;Rap and Hip-Hop;;;
lo-fi cover;Lo-Fi;;;
jawaiian;Utility;;;
south carolina hip hop;Rap and Hip-Hop;;;
rap chileno;Rap and Hip-Hop;;;
philly indie;Pop;;;
melodic death metal;Heavy Metal;;;
chinese viral pop;Pop;;;
russian drain;Rap and Hip-Hop;;;
scottish rock;Rock;;;
dark clubbing;Dance Music, Techno and House;;;
latin talent show;Not_assignable;;;
melodic hardcore;Rock;;;
chill drill;Rap and Hip-Hop;;;
big band;Jazz;;;
christian indie;Utility;;;
roots worship;Utility;;;
detroit trap;Rap and Hip-Hop;;;
piano cover;Not_assignable;;;
vancouver indie;Pop;;;
japanese soundtrack;Not_assignable;;;
modern power pop;Pop;;;
dinner jazz;Jazz;;;
uk americana;Not_assignable;;;
pub rock;Rock;;;
canadian country;Country;;;
folklore argentino;Utility;;;
bossa nova cover;Latin American music;;;
greek pop;Pop;;;
classic russian rock;Rock;;;
alabama rap;Rap and Hip-Hop;;;
boston hip hop;Rap and Hip-Hop;;;
arab pop;Pop;;;
norteno-sax;Latin American music;;;
canadian contemporary country;Country;;;
basshall;Dance Music, Techno and House;;;
shamanic;Not_assignable;;;
chillstep;Dance Music, Techno and House;;;
swedish synthpop;Pop;;;
rock cristiano;Rock;;;
indie punk;Rock;;;
argentine reggae;Reggae;;;
trap carioca;Rap and Hip-Hop;;;
gospel;Utility;;;
argentine telepop;Pop;;;
ambient pop;Pop;;;
deathcore;Heavy Metal;;;
french synthpop;Pop;;;
classic mandopop;Pop;;;
boom bap espanol;Rap and Hip-Hop;;;
trap chileno;Rap and Hip-Hop;;;
cool jazz;Jazz;;;
classic soundtrack;Not_assignable;;;
diva house;Dance Music, Techno and House;;;
jazz saxophone;Jazz;;;
rap mineiro;Rap and Hip-Hop;;;
ska mexicano;Latin American music;;;
british soundtrack;Not_assignable;;;
nwobhm;Heavy Metal;;;
experimental;Dance Music, Techno and House;;;
spanish new wave;Rock;;;
champeta;Latin American music;;;
rhythm and blues;R&B;;;
salsa colombiana;Latin American music;;;
german romanticism;Classical;;;
albanian pop;Pop;;;
italo dance;Dance Music, Techno and House;;;
doo-wop;R&B;;;
edmonton indie;Not_assignable;;;
stoner metal;Heavy Metal;;;
intelligent dance music;Dance Music, Techno and House;;;
hyphy;Rap and Hip-Hop;;;
chinese indie;Pop;;;
rap belge;Rap and Hip-Hop;;;
funk mandelao;R&B;;;
jazz piano;Jazz;;;
tecnobanda;Latin American music;;;
jazz rap;Rap and Hip-Hop;;;
roots americana;Not_assignable;;;
g-house;Dance Music, Techno and House;;;
detroit rock;Rock;;;
hands up;Dance Music, Techno and House;;;
psychedelic hip hop;Rap and Hip-Hop;;;
classic opm;Utility;;;
deep ccm;Utility;;;
hard bop;Jazz;;;
sacramento indie;Pop;;;
dutch trance;Dance Music, Techno and House;;;
organic house;Dance Music, Techno and House;;;
indonesian jazz;Jazz;;;
malaysian pop;Pop;;;
iskelma;Not_assignable;;;
musica infantil;Not_assignable;;;
northern soul;R&B;;;
azonto;Utility;;;
folk brasileiro;Folk;;;
japanese emo;Rock;;;
stride;Jazz;;;
bases de freestyle;Not_assignable;;;
swedish indie pop;Pop;;;
hard rock brasileiro;Rock;;;
new age piano;Classical;;;
milan indie;Pop;;;
rock urbano mexicano;Rock;;;
small room;Not_assignable;;;
karadeniz turkuleri;Not_assignable;;;
